Week,Average,Company
4/1/2015,-3.040465869,twitter
4/8/2015,-2.573549041,twitter
4/15/2015,-5.118362254,twitter
4/22/2015,-5.612396858,twitter
4/29/2015,-3.718651168,twitter
5/6/2015,-3.144028721,twitter
5/13/2015,-3.17141393,twitter
5/20/2015,-3.43718625,twitter
5/27/2015,-4.26595018,twitter
6/3/2015,-3.756755551,twitter
6/10/2015,-3.599308715,twitter
6/17/2015,-2.564810347,twitter
6/24/2015,-2.26726081,twitter
7/1/2015,-0.996485745,twitter
7/8/2015,-1.430720003,twitter
7/15/2015,-2.66746772,twitter
7/22/2015,-2.306109441,twitter
7/29/2015,-3.457268064,twitter
8/5/2015,-2.825918398,twitter
8/12/2015,-3.389874572,twitter
8/19/2015,-2.809938614,twitter
8/26/2015,-6.390795421,twitter
9/2/2015,-2.806822447,twitter
9/9/2015,-4.142644893,twitter
9/16/2015,-1.285606633,twitter
9/23/2015,-2.910789553,twitter
9/30/2015,-2.492981696,twitter
10/7/2015,-1.873984854,twitter
10/14/2015,-2.931139244,twitter
10/21/2015,-2.374868903,twitter
10/28/2015,-2.453280652,twitter
11/4/2015,-2.375341355,twitter
11/11/2015,-3.178497701,twitter
11/18/2015,-3.007890897,twitter
11/25/2015,-2.7560792,twitter
12/2/2015,-4.740781239,twitter
12/9/2015,-3.950353994,twitter
12/16/2015,-5.089561791,twitter
12/23/2015,-3.88064469,twitter
12/30/2015,-6.878334222,twitter
1/6/2016,-3.148822304,twitter
1/13/2016,-4.065286582,twitter
1/20/2016,-6.745282562,twitter
1/27/2016,-3.791359551,twitter
2/3/2016,-4.324407121,twitter
2/10/2016,-2.153328706,twitter
2/17/2016,-2.771895291,twitter
2/24/2016,-1.779719679,twitter
3/2/2016,-5.618006459,twitter
3/9/2016,-4.04624472,twitter
3/16/2016,-2.15903275,twitter
3/23/2016,-3.272319083,twitter
3/30/2016,-3.674095083,twitter
4/6/2016,-4.189649185,twitter
4/13/2016,-3.829900212,twitter
4/20/2016,-2.3184964,twitter
4/27/2016,-2.679948794,twitter
5/4/2016,-3.199631219,twitter
5/11/2016,-3.913374769,twitter
5/18/2016,-3.106524692,twitter
5/25/2016,-5.446908326,twitter
6/1/2016,-5.31505806,twitter
6/8/2016,-3.358130997,twitter
6/15/2016,-1.432404362,twitter
6/22/2016,-1.657323303,twitter
6/29/2016,-2.993260805,twitter
7/6/2016,-3.938949596,twitter
7/13/2016,-4.084815701,twitter
7/20/2016,-6.760598933,twitter
7/27/2016,-0.996460523,twitter
8/3/2016,-1.877268033,twitter
8/10/2016,-5.056355236,twitter
8/17/2016,-2.683773275,twitter
8/24/2016,-3.78996425,twitter
8/31/2016,-1.223714049,twitter
9/7/2016,-2.783747991,twitter
9/14/2016,-1.931461827,twitter
9/21/2016,-3.690196715,twitter
9/28/2016,-3.783370877,twitter
10/5/2016,-2.668485067,twitter
10/12/2016,-3.595392223,twitter
10/19/2016,-2.953410052,twitter
10/26/2016,-1.348207194,twitter
11/2/2016,-2.953736008,twitter
11/9/2016,-4.462563366,twitter
11/16/2016,-3.899639737,twitter
11/23/2016,-5.565243393,twitter
11/30/2016,-4.550168709,twitter
12/7/2016,-4.545597746,twitter
12/14/2016,-1.556046413,twitter
12/21/2016,-2.6685843,twitter
