¥éËDate,Close,,Open,High,Low,Volume
12/9/16,61.97,,61.18,61.99,61.12,27349356
12/12/16,62.17,,61.82,62.3,61.72,20198081
12/13/16,62.98,,62.5,63.42,62.24,35718868
12/14/16,62.68,,63,63.45,62.53,30352654
12/15/16,62.58,,62.7,63.15,62.3,27669868
12/16/16,62.3,,62.95,62.95,62.12,42453083
12/19/16,63.62,,62.56,63.77,62.42,34338219
12/20/16,63.54,,63.69,63.8,63.02,26028379
12/21/16,63.54,,63.43,63.7,63.12,17096304
12/22/16,63.55,,63.84,64.1,63.4,22176585
12/23/16,63.24,,63.45,63.54,62.8,12403819
12/27/16,63.28,,63.21,64.07,63.21,11763173
12/28/16,62.99,,63.4,63.4,62.83,14653348
12/29/16,62.9,,62.86,63.2,62.73,10250582
12/30/16,62.14,,62.96,62.99,62.03,25579908
1/3/17,62.58,,62.79,62.84,62.12,20694101
1/4/17,62.3,,62.48,62.75,62.12,21339969
1/5/17,62.3,,62.19,62.66,62.03,24875968
1/6/17,62.84,,62.3,63.15,62.04,19922919
1/9/17,62.64,,62.76,63.08,62.54,20382730
1/10/17,62.62,,62.73,63.07,62.28,18593004
1/11/17,63.19,,62.61,63.23,62.43,21517335
1/12/17,62.61,,63.06,63.4,61.95,20968223
1/13/17,62.7,,62.62,62.86,62.35,19422310
1/17/17,62.53,,62.68,62.7,62.03,20663983
1/18/17,62.5,,62.67,62.7,62.12,19670102
1/19/17,62.3,,62.24,62.98,62.2,18451655
1/20/17,62.74,,62.67,62.82,62.37,30213462
1/23/17,62.96,,62.7,63.12,62.57,23097581
1/24/17,63.52,,63.2,63.74,62.94,24672940
1/25/17,63.68,,63.95,64.1,63.45,24654933
1/26/17,64.27,,64.12,64.54,63.55,43554645
1/27/17,65.78,2.35%,65.39,65.91,64.89,44817972
1/30/17,65.13,,65.69,65.79,64.8,31651445
1/31/17,64.65,,64.86,65.15,64.26,25270549
2/1/17,63.58,,64.36,64.62,63.47,39671528
2/2/17,63.17,-3.97%,63.25,63.41,62.75,45827013
2/3/17,63.68,,63.5,63.7,63.07,30301759
2/6/17,63.64,,63.5,63.65,63.14,19796360
2/7/17,63.43,,63.74,63.78,63.23,20277226
2/8/17,63.34,,63.57,63.81,63.22,18096358
2/9/17,64.06,-2.61%,63.52,64.44,63.32,22644443
2/10/17,64,,64.25,64.3,63.98,18170729
2/13/17,64.72,,64.24,64.86,64.13,22920101
2/14/17,64.57,,64.41,64.72,64.02,23108426
2/15/17,64.53,,64.5,64.57,64.16,17005157
2/16/17,64.52,,64.74,65.24,64.44,20546345
2/17/17,64.62,,64.47,64.69,64.3,21248818
2/21/17,64.49,,64.61,64.95,64.45,20655869
2/22/17,64.36,,64.33,64.39,64.05,19292651
2/23/17,64.62,,64.42,64.73,64.2,20273128
